ID,Leeftijd,Marges,WijkenEnBuurten,Perioden,Gemeentenaam_1,SoortRegio_2,Codering_3,ErvarenGezondheidGoedZeerGoed_4
2937,20300,MW00000,WK036307,2012JJ00,Amsterdam,Wijk,WK036307,83.3
2938,20300,MW00000,WK036307,2016JJ00,Amsterdam,Wijk,WK036307,82.9
2939,20300,MW00000,WK036307,2020JJ00,Amsterdam,Wijk,WK036307,85.9
2940,20300,MW00000,BU03630700,2012JJ00,Amsterdam,Buurt,BU03630700,86.0
2941,20300,MW00000,BU03630700,2016JJ00,Amsterdam,Buurt,BU03630700,84.7
2942,20300,MW00000,BU03630700,2020JJ00,Amsterdam,Buurt,BU03630700,86.8
2943,20300,MW00000,BU03630701,2012JJ00,Amsterdam,Buurt,BU03630701,82.2
2944,20300,MW00000,BU03630701,2016JJ00,Amsterdam,Buurt,BU03630701,81.0
2945,20300,MW00000,BU03630701,2020JJ00,Amsterdam,Buurt,BU03630701,85.2
2946,20300,MW00000,BU03630702,2012JJ00,Amsterdam,Buurt,BU03630702,85.4
2947,20300,MW00000,BU03630702,2016JJ00,Amsterdam,Buurt,BU03630702,84.8
2948,20300,MW00000,BU03630702,2020JJ00,Amsterdam,Buurt,BU03630702,88.1
2949,20300,MW00000,BU03630703,2012JJ00,Amsterdam,Buurt,BU03630703,80.6
2950,20300,MW00000,BU03630703,2016JJ00,Amsterdam,Buurt,BU03630703,81.6
2951,20300,MW00000,BU03630703,2020JJ00,Amsterdam,Buurt,BU03630703,83.8
2952,20300,MW00000,BU03630704,2012JJ00,Amsterdam,Buurt,BU03630704,83.8
2953,20300,MW00000,BU03630704,2016JJ00,Amsterdam,Buurt,BU03630704,83.7
2954,20300,MW00000,BU03630704,2020JJ00,Amsterdam,Buurt,BU03630704,86.3
2955,20300,MW00000,BU03630705,2012JJ00,Amsterdam,Buurt,BU03630705,81.7
2956,20300,MW00000,BU03630705,2016JJ00,Amsterdam,Buurt,BU03630705,81.8
2957,20300,MW00000,BU03630705,2020JJ00,Amsterdam,Buurt,BU03630705,84.9
2958,20300,MW00000,BU03630706,2012JJ00,Amsterdam,Buurt,BU03630706,81.2
2959,20300,MW00000,BU03630706,2016JJ00,Amsterdam,Buurt,BU03630706,80.9
2960,20300,MW00000,BU03630706,2020JJ00,Amsterdam,Buurt,BU03630706,84.3
2961,20300,MW00000,BU03630707,2012JJ00,Amsterdam,Buurt,BU03630707,84.5
2962,20300,MW00000,BU03630707,2016JJ00,Amsterdam,Buurt,BU03630707,82.9
2963,20300,MW00000,BU03630707,2020JJ00,Amsterdam,Buurt,BU03630707,85.9
2964,20300,MW00000,WK036308,2012JJ00,Amsterdam,Wijk,WK036308,81.0
2965,20300,MW00000,WK036308,2016JJ00,Amsterdam,Wijk,WK036308,80.3
2966,20300,MW00000,WK036308,2020JJ00,Amsterdam,Wijk,WK036308,84.3
2967,20300,MW00000,BU03630800,2012JJ00,Amsterdam,Buurt,BU03630800,79.1
2968,20300,MW00000,BU03630800,2016JJ00,Amsterdam,Buurt,BU03630800,77.9
